URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,4,5,-0.11111109876543349,0.01217861973994774,29.56,0.0,11.824,29.56,0,441,1.742895805142084,4,5.05277401894452
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,8,16,-0.333333319444445,0.039867109568327064,16.72222222222222,0.0,6.688888888888889,16.72222222222222,0,338,1.6528239202657806,3,4.930232558139535
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,11,2,0.6923076390532585,0.019696969667125804,19.41176470588235,0.15151515151515152,7.825311942959002,19.41176470588235,1,398,1.8909090909090909,2,5.210606060606061
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,25,38,-0.20634920307382218,0.04439746297082631,18.428571428571427,0.42283298097251587,7.5405617638175775,18.428571428571427,6,757,1.7618040873854828,32,4.980267794221283
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,18,14,0.12499999609375013,0.026778242655415695,20.964912280701753,0.33472803347280333,8.519856125669824,20.964912280701753,4,689,1.683682008368201,4,4.920502092050209
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,12,7,0.26315788088642733,0.03275862063317479,21.48148148148148,0.0,8.592592592592593,21.48148148148148,0,329,1.9327586206896552,1,5.270689655172414
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,16,39,-0.41818181057851256,0.03895184133218708,14.863157894736842,0.2124645892351275,6.030248993588788,14.863157894736842,3,774,1.6777620396600565,10,4.96671388101983
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,14,7,0.3333333174603182,0.02169421485362168,26.88888888888889,0.4132231404958678,10.920844811753904,26.88888888888889,4,520,1.6766528925619835,6,4.87706611570248
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,26,18,0.18181817768595052,0.02432283027953409,23.493506493506494,0.2763957987838585,9.507960916916142,23.493506493506494,5,1152,1.9165284687672748,1,5.63681592039801
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,26,33,-0.11864406578569381,0.04097222219376929,18.0,0.20833333333333334,7.283333333333333,18.0,3,758,1.6055555555555556,6,4.785416666666666
